cell_type,cell_class,cognitive_load,continuous_load,Calcium,Cell Cycle,Circadian,ERK/MAPK,Hippo,JAK-STAT,NF-κB,NRF2,Notch,PI3K/PTEN,TGF-β,Wnt,mTOR,p53
adipocytes,mesenchymal cells,7,-0.22,0,1,0,0,1,1,0,0,0,1,1,0,1,1
adrenal cortex cells,endocrine cells,7,-0.83,0,1,0,0,1,1,0,0,0,1,0,1,1,1
adrenal medulla cells,endocrine cells,0,-10.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alveolar cells type 1,specialized epithelial cells,12,3.10,0,1,1,1,1,1,1,1,0,1,1,1,1,1
alveolar cells type 2,specialized epithelial cells,10,5.03,1,0,1,1,1,1,1,1,0,1,0,1,0,1
astrocytes,glial cells,5,-0.45,0,0,0,0,1,0,0,0,1,1,0,1,1,0
b-cells,blood and immune cells,11,-0.16,1,1,0,1,0,1,1,0,1,1,1,1,1,1
basal keratinocytes,specialized epithelial cells,11,7.03,1,1,1,1,1,0,1,1,1,0,1,1,0,1
basal prostatic cells,specialized epithelial cells,11,0.00,0,1,1,1,1,1,1,1,1,1,1,0,0,1
bergmann glia,glial cells,6,2.77,0,0,0,0,1,1,0,0,0,1,1,1,1,0
brain excitatory neurons,neuronal cells,5,-1.82,1,0,0,0,0,0,0,0,1,1,0,1,1,0
brain inhibitory neurons,neuronal cells,4,-3.49,1,0,0,0,0,0,0,0,0,1,0,1,1,0
breast hormone-responsive cells,glandular epithelial cells,6,-0.54,0,1,1,0,0,1,1,0,1,0,0,0,0,1
breast lactating cells,glandular epithelial cells,9,-1.94,1,0,1,1,1,0,1,1,1,1,0,0,1,0
breast myoepithelial cells,specialized epithelial cells,5,-5.73,1,0,0,1,0,1,0,0,0,1,0,0,0,1
breast secretory cells,glandular epithelial cells,8,0.74,0,1,1,1,0,1,1,1,1,0,0,0,0,1
cardiomyocytes,muscle cells,5,-1.71,1,0,0,0,1,0,0,1,0,1,0,0,1,0
cdc,blood and immune cells,11,5.17,1,1,0,1,0,1,1,1,1,1,1,1,0,1
cholangiocytes,specialized epithelial cells,5,-6.03,0,0,1,1,1,0,1,0,1,0,0,0,0,0
choroid plexus epithelial cells,ciliated cells,8,4.09,1,0,1,0,1,0,0,0,0,1,1,1,1,1
colonocytes,glandular epithelial cells,10,0.96,1,1,1,1,0,0,1,1,1,0,1,1,0,1
