gene,S_abs_RDS,P_paper1_sign,CVS,abs_CVS,n_loops,predicted_role,actual_role,in_paper1
CDK2,11,1,11,11,12,oncogene,oncogene,False
STAT3,8,1,8,8,48,oncogene,oncogene,True
CCNE1,7,1,7,7,8,oncogene,oncogene,False
MAPK1,6,1,6,6,13,oncogene,oncogene,True
SMAD7,6,1,6,6,9,oncogene,,True
TP53,6,-1,-6,6,6,TSG,TSG,True
SOCS3,4,-1,-4,4,31,TSG,,True
MTOR,3,1,3,3,6,oncogene,oncogene,True
SMAD2,3,-1,-3,3,6,TSG,TSG,True
SMAD3,3,-1,-3,3,6,TSG,TSG,True
BCL2,2,1,2,2,4,oncogene,oncogene,False
RB1,2,-1,-2,2,4,TSG,TSG,False
STAT5A,2,1,2,2,14,oncogene,,True
STAT5B,2,1,2,2,14,oncogene,oncogene,True
AXIN1,1,-1,-1,1,1,TSG,TSG,True
BMPR1A,1,-1,-1,1,2,TSG,TSG,False
BMPR1B,1,-1,-1,1,2,TSG,,False
BMPR2,1,-1,-1,1,2,TSG,,False
CDH1,1,-1,-1,1,1,TSG,TSG,False
CDKN1A,1,-1,-1,1,4,TSG,TSG,False
CDKN1B,1,-1,-1,1,6,TSG,TSG,False
CDKN2A,1,-1,-1,1,2,TSG,TSG,False
CISH,1,-1,-1,1,5,TSG,,False
CTNNB1,1,1,1,1,1,oncogene,oncogene,True
E2F1,1,1,1,1,3,oncogene,oncogene,False
GLI1,1,1,1,1,1,oncogene,oncogene,True
MDM2,1,1,1,1,1,oncogene,oncogene,True
SMAD4,1,-1,-1,1,5,TSG,TSG,True
SOCS1,1,-1,-1,1,9,TSG,TSG,True
SOCS4,1,-1,-1,1,7,TSG,,False
SOCS5,1,-1,-1,1,7,TSG,,False
SOCS6,1,-1,-1,1,7,TSG,,False
SOCS7,1,-1,-1,1,7,TSG,,False
STAT1,1,1,1,1,14,oncogene,,False
TGFBR1,1,-1,-1,1,3,TSG,TSG,True
TP73,1,-1,-1,1,1,TSG,,False
AKT1,0,1,0,0,1,neutral,oncogene,True
AKT2,0,1,0,0,1,neutral,oncogene,True
AKT3,0,1,0,0,1,neutral,oncogene,True
BBC3,0,-1,0,0,1,neutral,,False
BID,0,-1,0,0,1,neutral,,False
CSF1R,0,1,0,0,2,neutral,oncogene,False
CSNK1E,0,-1,0,0,1,neutral,,False
E2F2,0,1,0,0,1,neutral,,False
E2F3,0,1,0,0,1,neutral,,False
FOXO1,0,-1,0,0,2,neutral,both,False
FOXO3,0,-1,0,0,2,neutral,TSG,False
FOXO4,0,-1,0,0,2,neutral,oncogene,False
FOXO6,0,-1,0,0,2,neutral,,False
GLI2,0,1,0,0,1,neutral,oncogene,True
GLI3,0,-1,0,0,1,neutral,TSG,False
IRS1,0,1,0,0,3,neutral,,False
IRS2,0,1,0,0,3,neutral,,False
JAK1,0,1,0,0,10,neutral,oncogene,True
JAK2,0,1,0,0,12,neutral,oncogene,True
LEPR,0,1,0,0,3,neutral,,False
MAPK14,0,1,0,0,3,neutral,,False
PIK3CA,0,1,0,0,3,neutral,oncogene,True
PIK3R1,0,-1,0,0,3,neutral,TSG,True
PIK3R3,0,1,0,0,3,neutral,,False
PMAIP1,0,-1,0,0,1,neutral,,False
PRLR,0,1,0,0,1,neutral,,False
PTEN,0,-1,0,0,3,neutral,TSG,True
PTK2,0,1,0,0,3,neutral,,False
RBL1,0,-1,0,0,1,neutral,,False
RBL2,0,-1,0,0,1,neutral,,False
RELA,0,1,0,0,1,neutral,oncogene,True
SIVA1,0,-1,0,0,1,neutral,,False
SMAD1,0,-1,0,0,1,neutral,,False
SMAD5,0,-1,0,0,1,neutral,,False
STAT2,0,1,0,0,4,neutral,,False
TFDP1,0,1,0,0,1,neutral,,False
TNFAIP3,0,-1,0,0,1,neutral,TSG,True
TRAF6,0,1,0,0,1,neutral,,False
TYK2,0,1,0,0,10,neutral,,True
YAP1,0,1,0,0,1,neutral,,True
