motif_id,genes,length,n_inh,n_pathways
M_0001,AISIMD|STAT1,2,1,3
M_0002,AISIMD|IMD31A,2,1,5
M_0003,AISIMD|STAT5A,2,1,3
M_0004,AISIMD|MGF,2,1,3
M_0005,AOVD2|SMAD2,2,1,2
M_0006,AOVD2|SMAD3,2,1,2
M_0007,MDM2|TP53,2,1,5
M_0008,CTNNB1|CDH1,2,1,3
M_0009,SMAD3|AOVD2,2,1,2
M_0010,IMD31A|CISH,2,1,2
M_0011,IMD31A|SOCS4,2,1,2
M_0012,IMD31A|SOCS7,2,1,2
M_0013,IMD31A|SOCS1,2,1,3
M_0014,IMD31A|AISIMD,2,1,3
M_0015,IMD31A|AISIMD,2,1,5
M_0016,IMD31A|9306,2,1,2
M_0017,IMD31A|9655,2,1,2
M_0018,CDK2|CDKN1B,2,1,3
M_0019,CDK2|CDKN4,2,1,1
M_0020,TP53|MDM2,2,1,5
M_0021,TP53|TP73,2,1,2
M_0022,E2F1|CCNE1|RB1,3,1,3
M_0023,E2F1|CCNE1|RBL1,3,1,2
M_0024,E2F1|CCNE1|RBL2,3,1,2
M_0025,E2F1|CCNE|RB1,3,1,3
M_0026,E2F1|CCNE|RBL1,3,1,2
M_0027,E2F1|CCNE|RBL2,3,1,2
M_0028,RB1|TFDP1|CCNE1,3,1,3
M_0029,RB1|TFDP1|CCNE,3,1,3
M_0030,RB1|DILC|CCNE1,3,1,3
M_0031,RB1|DILC|CCNE,3,1,3
M_0032,RB1|E2F-1|CCNE1,3,1,3
M_0033,RB1|E2F-1|CCNE,3,1,3
M_0034,RB1|RBAP1|CCNE1,3,1,3
M_0035,RB1|RBAP1|CCNE,3,1,3
M_0036,EBP-1|TNFAIP3|TRAF6,3,1,2
M_0037,AISIMD|JAK1|STAT1,3,1,6
M_0038,AISIMD|JAK1|CANDF7,3,1,5
M_0039,AISIMD|JAK1|IMD31A,3,1,7
M_0040,AISIMD|JAK1|IMD31B,3,1,3
M_0041,AISIMD|JAK1|STAT5A,3,1,4
M_0042,AISIMD|JAK1|MGF,3,1,4
M_0043,AISIMD|JAK1|STAT91,3,1,3
M_0044,AISIMD|JAK1B|STAT1,3,1,5
M_0045,AISIMD|JAK1B|CANDF7,3,1,4
M_0046,AISIMD|JAK1B|IMD31A,3,1,6
M_0047,AISIMD|JAK1B|IMD31B,3,1,3
M_0048,AISIMD|JAK1B|STAT5A,3,1,4
M_0049,AISIMD|JAK1B|MGF,3,1,4
M_0050,AISIMD|JAK1B|STAT91,3,1,3
M_0051,AISIMD|JTK10|STAT1,3,1,4
M_0052,AISIMD|JTK10|CANDF7,3,1,3
M_0053,AISIMD|JTK10|IMD31A,3,1,7
M_0054,AISIMD|JTK10|MGF,3,1,4
M_0055,AISIMD|JTK10|IMD31B,3,1,2
M_0056,AISIMD|JTK10|STAT5A,3,1,3
M_0057,AISIMD|JTK10|STAT91,3,1,2
M_0058,AISIMD|JAK2|STAT1,3,1,7
M_0059,AISIMD|JAK2|CANDF7,3,1,5
M_0060,AISIMD|JAK2|IMD31A,3,1,10
M_0061,AISIMD|JAK2|MGF,3,1,8
M_0062,AISIMD|JAK2|STAT5A,3,1,7
M_0063,AISIMD|JAK2|MAPK1,3,1,5
M_0064,AISIMD|JAK2|ERK,3,1,5
M_0065,AISIMD|JAK2|IMD31B,3,1,4
M_0066,AISIMD|JAK2|STAT91,3,1,4
M_0067,AISIMD|M-CSF-R|MAPK1,3,1,3
M_0068,AISIMD|M-CSF-R|ERK,3,1,3
M_0069,AISIMD|STAT1|CANDF7,3,1,3
M_0070,AISIMD|STAT1|IMD31A,3,1,5
M_0071,AISIMD|STAT1|STAT5A,3,1,3
M_0072,AISIMD|STAT1|MGF,3,1,3
M_0073,AISIMD|STAT1|STAT91,3,1,2
M_0074,AISIMD|IMD31A|STAT5A,3,1,3
M_0075,AISIMD|IMD31A|MGF,3,1,3
M_0076,AISIMD|IMD31A|STAT91,3,1,2
M_0077,AISIMD|IMD31A|IMD31B,3,1,2
M_0078,AISIMD|STAT5A|MGF,3,1,3
M_0079,AISIMD|STAT5A|STAT91,3,1,2
M_0080,AISIMD|MGF|STAT91,3,1,2
M_0081,AISIMD|LEPR|IMD31A,3,1,4
M_0082,AISIMD|LEPR|STAT5A,3,1,3
M_0083,AISIMD|LEPR|MGF,3,1,3
M_0084,AOVD2|SMAD2|SMAD4,3,1,5
M_0085,AOVD2|SMAD3|SMAD4,3,1,5
M_0086,AOVD2|SMAD1|SMAD4,3,1,4
M_0087,AOVD2|BSP-1|SMAD4,3,1,4
M_0088,AOVD2|BSP1|SMAD4,3,1,4
M_0089,AOVD2|TGFBR1|SMAD3,3,1,9
M_0090,AOVD2|TGFBR1|SMAD2,3,1,8
M_0091,AOVD2|TGFBR1|SMAD4,3,1,3
M_0092,AOVD2|AAT5|SMAD3,3,1,6
M_0093,AOVD2|AAT5|SMAD2,3,1,5
M_0094,AOVD2|AAT5|SMAD4,3,1,3
M_0095,MTOR|IRS1|P3R3URF-PIK3R3,3,1,17
M_0096,MTOR|IRS1|LOC110117498-PIK3R3,3,1,17
M_0097,MTOR|IRS1|CCM4,3,1,17
M_0098,MTOR|IRS1|CLAPO,3,1,17
M_0099,MTOR|IRS1|5295,3,1,17
M_0100,MTOR|IRS1|5296,3,1,17
M_0101,MTOR|IRS1|8503,3,1,17
