mod_i,mod_j,pw_i,pw_j,jaccard,shared_genes
2,3,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
2,4,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
2,5,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
2,6,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
3,4,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
3,5,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
3,6,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
4,5,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
4,6,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
5,6,JAK-STAT/SOCS,JAK-STAT/SOCS,0.7778,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
9,29,TGF-β/SMAD,TGF-β/SMAD,0.7500,SMAD4|SMAD7|TGFBR1
10,29,TGF-β/SMAD,TGF-β/SMAD,0.7500,SMAD4|SMAD7|TGFBR1
1,2,JAK-STAT/SOCS,JAK-STAT/SOCS,0.6364,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
1,3,JAK-STAT/SOCS,JAK-STAT/SOCS,0.6364,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
1,4,JAK-STAT/SOCS,JAK-STAT/SOCS,0.6364,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
1,5,JAK-STAT/SOCS,JAK-STAT/SOCS,0.6364,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
1,6,JAK-STAT/SOCS,JAK-STAT/SOCS,0.6364,JAK1|JAK2|STAT1|STAT3|STAT5A|STAT5B|TYK2
9,10,TGF-β/SMAD,TGF-β/SMAD,0.6000,SMAD4|SMAD7|TGFBR1
15,16,Rb/E2F,Rb/E2F,0.5000,CCNE1|E2F1
15,17,Rb/E2F,Rb/E2F,0.5000,CCNE1|E2F1
15,18,Rb/E2F,Rb/E2F,0.5000,CCNE1|RB1
15,19,Rb/E2F,Rb/E2F,0.5000,CCNE1|RB1
15,20,Rb/E2F,Rb/E2F,0.5000,CCNE1|RB1
16,17,Rb/E2F,Rb/E2F,0.5000,CCNE1|E2F1
18,19,Rb/E2F,Rb/E2F,0.5000,CCNE1|RB1
18,20,Rb/E2F,Rb/E2F,0.5000,CCNE1|RB1
19,20,Rb/E2F,Rb/E2F,0.5000,CCNE1|RB1
22,23,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,SOCS3|STAT2
22,24,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,SOCS3|STAT2
23,24,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,SOCS3|STAT2
24,25,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,JAK2|SOCS3
25,26,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,MAPK1|SOCS3
25,45,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,JAK2|MAPK1
26,46,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,CSF1R|MAPK1
27,28,TGF-β/SMAD,TGF-β/SMAD,0.5000,SMAD4|SMAD7
27,29,TGF-β/SMAD,TGF-β/SMAD,0.5000,SMAD4|SMAD7
28,29,TGF-β/SMAD,TGF-β/SMAD,0.5000,SMAD4|SMAD7
30,31,mTOR/IRS,mTOR/IRS,0.5000,IRS1|MTOR
30,32,mTOR/IRS,mTOR/IRS,0.5000,IRS1|MTOR
30,33,mTOR/IRS,mTOR/IRS,0.5000,MTOR|PIK3R3
31,32,mTOR/IRS,mTOR/IRS,0.5000,IRS1|MTOR
31,34,mTOR/IRS,mTOR/IRS,0.5000,MTOR|PIK3CA
32,35,mTOR/IRS,mTOR/IRS,0.5000,MTOR|PIK3R1
33,34,mTOR/IRS,mTOR/IRS,0.5000,IRS2|MTOR
33,35,mTOR/IRS,mTOR/IRS,0.5000,IRS2|MTOR
34,35,mTOR/IRS,mTOR/IRS,0.5000,IRS2|MTOR
36,37,MAPK/ERK,MAPK/ERK,0.5000,MAPK1|MAPK14
36,38,MAPK/ERK,MAPK/ERK,0.5000,MAPK1|MAPK14
37,38,MAPK/ERK,MAPK/ERK,0.5000,MAPK1|MAPK14
39,40,BMP/SMAD,BMP/SMAD,0.5000,MAPK1|SMAD2
39,41,BMP/SMAD,BMP/SMAD,0.5000,MAPK1|SMAD2
39,42,BMP/SMAD,BMP/SMAD,0.5000,BMPR1A|MAPK1
40,41,BMP/SMAD,BMP/SMAD,0.5000,MAPK1|SMAD2
40,43,BMP/SMAD,BMP/SMAD,0.5000,BMPR1B|MAPK1
41,44,BMP/SMAD,BMP/SMAD,0.5000,BMPR2|MAPK1
42,43,BMP/SMAD,BMP/SMAD,0.5000,MAPK1|SMAD3
42,44,BMP/SMAD,BMP/SMAD,0.5000,MAPK1|SMAD3
43,44,BMP/SMAD,BMP/SMAD,0.5000,MAPK1|SMAD3
45,46,JAK-STAT/SOCS,JAK-STAT/SOCS,0.5000,MAPK1|SOCS1
47,52,PI3K/PTEN,PI3K/PTEN,0.5000,PTEN|PTK2
47,53,PI3K/PTEN,PI3K/PTEN,0.5000,PTEN|PTK2
48,49,Cell Cycle/CDK,Cell Cycle/CDK,0.5000,CDK2|CDKN1A
48,50,Cell Cycle/CDK,Cell Cycle/CDK,0.5000,CDK2|CDKN1A
48,51,Cell Cycle/CDK,Cell Cycle/CDK,0.5000,CDK2|CDKN1A
