Resolution,N Communities,Modularity Q,ARI vs KEGG
0.5,9,0.239,0.232
1.0,10,0.392,0.448
1.5,16,0.296,0.583

--- Resolution 1.0 Community Details ---
Community,N Motifs,N Genes,Dominant KEGG Pathway,Top Genes
1,40,14,JAK-STAT/SOCS,STAT3|SOCS4|SOCS7|SOCS1|SOCS6
2,29,10,JAK-STAT/SOCS,SOCS3|STAT1|STAT3|STAT5A|STAT5B
3,22,19,TGF-β/SMAD,MAPK1|SMAD7|SMAD2|SMAD3|SMAD4
4,18,16,Cell Cycle/CDK,CDK2|CCNE1|CDKN1B|RB1|CDKN1A
5,9,8,mTOR/IRS,MTOR|PTEN|PIK3CA|PTK2|PIK3R3
6,6,8,p53/Apoptosis,TP53|BCL2|TP73|MDM2|PMAIP1
7,1,2,Wnt/β-catenin,CDH1|CTNNB1
8,1,3,NF-κB,TNFAIP3|RELA|TRAF6
9,1,3,Hedgehog/GLI,GLI2|GLI1|GLI3
10,1,3,Hippo/YAP,CSNK1E|AXIN1|YAP1
